"Statistic Label","Quarter","Economic Sector NACE Rev 2","Type of Employee","UNIT","VALUE"
"Average Weekly Earnings","2015Q1","Financial and insurance activities (K)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2015Q1","Financial and insurance activities (K)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2015Q1","Financial and insurance activities (K)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2015Q1","Real estate activities (L)","All employees","Euro","649.16"
"Average Weekly Earnings","2015Q1","Real estate activities (L)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2015Q1","Real estate activities (L)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2015Q1","Real estate activities (L)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2015Q1","Professional, scientific and technical activities (M)","All employees","Euro","803.08"
"Average Weekly Earnings","2015Q1","Professional, scientific and technical activities (M)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2015Q1","Professional, scientific and technical activities (M)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2015Q1","Professional, scientific and technical activities (M)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2015Q1","Administrative and support service activities (N)","All employees","Euro","506.75"
"Average Weekly Earnings","2015Q1","Administrative and support service activities (N)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2015Q1","Administrative and support service activities (N)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2015Q1","Administrative and support service activities (N)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2015Q1","Public administration and defence; compulsory social security (O)","All employees","Euro","930.55"
"Average Weekly Earnings","2015Q1","Public administration and defence; compulsory social security (O)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2015Q1","Public administration and defence; compulsory social security (O)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2015Q1","Public administration and defence; compulsory social security (O)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2015Q1","Education (P)","All employees","Euro","796.64"
"Average Weekly Earnings","2015Q1","Education (P)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2015Q1","Education (P)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2015Q1","Education (P)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2015Q1","Human health and social work activities (Q)","All employees","Euro","669.43"
"Average Weekly Earnings","2015Q1","Human health and social work activities (Q)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2015Q1","Human health and social work activities (Q)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2015Q1","Human health and social work activities (Q)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2015Q1","Arts, entertainment and recreation (R)","All employees","Euro","507.25"
"Average Weekly Earnings","2015Q1","Arts, entertainment and recreation (R)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2015Q1","Arts, entertainment and recreation (R)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2015Q1","Arts, entertainment and recreation (R)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2015Q1","Other service activities (S)","All employees","Euro","438.88"
"Average Weekly Earnings","2015Q1","Other service activities (S)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2015Q1","Other service activities (S)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2015Q1","Other service activities (S)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2015Q1","Industry (B to E)","All employees","Euro","854.77"
"Average Weekly Earnings","2015Q1","Industry (B to E)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2015Q1","Industry (B to E)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2015Q1","Industry (B to E)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2015Q1","Electricity, water supply and waste management (D,E)","All employees","Euro","1045.84"
"Average Weekly Earnings","2015Q1","Electricity, water supply and waste management (D,E)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2015Q1","Electricity, water supply and waste management (D,E)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2015Q1","Electricity, water supply and waste management (D,E)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2015Q1","Financial, insurance and real estate activities (K,L)","All employees","Euro","1081.26"
"Average Weekly Earnings","2015Q1","Financial, insurance and real estate activities (K,L)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2015Q1","Financial, insurance and real estate activities (K,L)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2015Q1","Financial, insurance and real estate activities (K,L)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2015Q1","Arts, entertainment, recreation and other service activities (R,S)","All employees","Euro","473.13"
"Average Weekly Earnings","2015Q1","Arts, entertainment, recreation and other service activities (R,S)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2015Q1","Arts, entertainment, recreation and other service activities (R,S)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2015Q1","Arts, entertainment, recreation and other service activities (R,S)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2015Q2","All NACE economic sectors","All employees","Euro","699.22"
"Average Weekly Earnings","2015Q2","All NACE economic sectors","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2015Q2","All NACE economic sectors","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2015Q2","All NACE economic sectors","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2015Q2","Mining and quarrying (B)","All employees","Euro","970.4"
"Average Weekly Earnings","2015Q2","Mining and quarrying (B)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2015Q2","Mining and quarrying (B)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2015Q2","Mining and quarrying (B)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2015Q2","Manufacturing (C)","All employees","Euro","823.4"
"Average Weekly Earnings","2015Q2","Manufacturing (C)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2015Q2","Manufacturing (C)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2015Q2","Manufacturing (C)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2015Q2","Construction (F)","All employees","Euro","705.67"
"Average Weekly Earnings","2015Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2015Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2015Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2015Q2","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","All employees","Euro","535.84"
"Average Weekly Earnings","2015Q2","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Managers, professionals and associated professionals","Euro",""
